,year,rGDP_USD,imports_GDP,govdebt_GDP,M2,infl,unemp,cbrate,ltrate,Δ_govdebt_GDP,Δ_M2,Country,Year,Consumer_Confidence,inflation_bin,kmeans_cluster,infl_lagged
273,2009,0.1335978476458479,0.3424164172338925,0.26523049391097614,0.0012268027735904312,0.10085061512130145,0.3882925645308601,0.026905544345123104,0.17768014543222646,0.5813485862889758,0.342267177766424,Germany,2009,0.16263706897305663,Target,1.0,0.20756613896231008
274,2010,0.13930030986834527,0.395589851337792,0.29932012000156993,0.0012267404211903723,0.14874948588567177,0.35335320682156757,0.025322865265998216,0.1549325487420318,0.6023386092155876,0.38131309496369037,Germany,2010,0.22656314250851323,Target,1.0,0.20352808221644042
275,2011,0.1446907222405947,0.42999709501322997,0.28937271527633335,0.0013000045536119254,0.20756613896231008,0.29648271329289216,0.03007090250337288,0.14850342372651615,0.2939402398674967,0.5129889594524047,Germany,2011,0.24288782233006773,Target,1.0,0.17302533383689886
276,2012,0.14538820100236619,0.4279071798801734,0.29452158564958414,0.0013937202109003824,0.20352808221644042,0.273153976503724,0.02215750710774844,0.09548102938723976,0.3916945327500535,0.5403222277838631,Germany,2012,0.2220039976934845,Target,1.0,0.13682093267311465
277,2013,0.14596448099835097,0.4173473783489475,0.28522369488543337,0.0014303834221349883,0.17302533383689886,0.26600482598654873,0.03798429789899732,0.09911139980612083,0.2971830132520766,0.4394462189333455,Germany,2013,0.23229884082419455,Target,1.0,0.11306243726043193
278,2014,0.14922017971592522,0.406596224025713,0.2735245706893893,0.0015007169294013753,0.13682093267311465,0.25299665784948894,0.015826790791248883,0.0796960823994109,0.279227487050683,0.4899031034042842,Germany,2014,0.24994714333398316,Target,1.0,0.11168945848828112
279,2015,0.15175563878468218,0.40717692579876213,0.26067994005288464,0.0016407604199335606,0.11306243726043193,0.23466693071128616,0.013294504517877715,0.04788998813194445,0.26808278354339776,0.5873814901636087,Germany,2015,0.2500942125215647,Target,1.0,0.185515264837467
280,2016,0.1553196833616896,0.39532295322110383,0.2491500791950995,0.0017345384296220765,0.11168945848828112,0.2099943673032174,0.008863002589870722,0.02867652690321043,0.27353272607079426,0.5076596096839305,Germany,2016,0.24582920608169914,Target,1.0,0.18666571353001654
281,2017,0.1596406480174376,0.40794803335690105,0.23466789789635337,0.0018102341185887245,0.185515264837467,0.19166464016501464,0.008863002589870722,0.0393774301528569,0.2474184937891299,0.47785013960807515,Germany,2017,0.2603400325897476,Target,1.0,0.1634145399542778
282,2018,0.16146654712588118,0.427743577260611,0.22198072518980896,0.0018929135257715647,0.18666571353001654,0.17236736710669354,0.008863002589870722,0.04318628021175931,0.255525764731677,0.48237299036754394,Germany,2018,0.2602419864646932,Target,1.0,0.11259437176037433
290,1973,0.04129141878895404,0.1593912740538358,0.13850924938919482,1.4304825892626138e-05,0.7357698488396399,0.2422434808873509,0.18359077317848707,0.3479613463865445,0.4972849856828516,0.8048310342649059,Italy,1973,0.16195074609767596,High,0.5,0.9779673332394648
295,1978,0.048773700472002524,0.18272872427495523,0.16593607072865982,5.65195805723761e-05,0.8142062902489774,0.27441824352971766,0.28488223424247994,0.5954504644799797,0.2739226387482561,0.9122939329276876,Italy,1978,0.15508751734386927,High,0.5,0.9687637436990683
296,1979,0.05168865478640784,0.20757715273261296,0.16205496106913897,7.053762844788757e-05,0.9779673332394648,0.2922996235234855,0.39883512793947196,0.6478039337825705,0.31467564156666705,0.832165424405191,Italy,1979,0.1496949804658783,High,0.5,0.7355206858728062
300,1983,0.0538153780137235,0.18655596664679513,0.23678741153641011,0.0001257171455792508,0.9687637436990683,0.3959254799451671,0.44948085847146835,0.8952930138007553,0.5591777006723908,0.6833001416797211,Italy,1983,0.11930068169902014,High,0.5,0.6393362664285134
301,1984,0.05567799850530575,0.2090926077291324,0.24192576765638782,0.00014182127405685128,0.7355206858728062,0.4209743133014482,0.4368194258384692,0.766789091288459,0.3986629621483196,0.6403756224853581,Italy,1984,0.16930420547675457,High,0.5,0.4345294362703316
302,1985,0.05734568169160166,0.21043127375217108,0.26664176178207183,0.00015821100770292134,0.6393362664285134,0.4389277436150137,0.39883512793947196,0.6769552973715133,0.5510190392450485,0.6175018590298748,Italy,1985,0.19759051255494356,High,0.5,0.3693621913659504
303,1986,0.05909802427483623,0.1522364072029082,0.28642043813630297,0.00017277103511022433,0.4345294362703316,0.47655472768568263,0.3228665321414772,0.5701447011816273,0.4989105249775335,0.5710353886159649,Italy,1986,0.22322957425666426,High,0.5,0.3881910764974873
304,1987,0.06110978727617724,0.15394186622400619,0.301428776917356,0.00018650633355718892,0.3693621913659504,0.5168693649941529,0.3228665321414772,0.5308034487038804,0.4578544322313226,0.5462534217235737,Italy,1987,0.22023916744250566,Target,0.5,0.46094672336287734
305,1988,0.06383756264443519,0.15329130116779183,0.3597288587672552,0.00019799745065647527,0.3881910764974873,0.5204170530772984,0.33552796477447633,0.5428971001127789,0.7285583600063166,0.5098144481245663,Italy,1988,0.22112158256799508,High,0.5,0.47286143607216374
306,1989,0.06613377757920429,0.16764979137738895,0.37027067505098815,0.00021641307613285752,0.46094672336287734,0.5195570182319542,0.3608508300404746,0.6328498791872306,0.4143392892913677,0.5759598490160116,Italy,1989,0.215189792002205,High,0.5,0.46035163258418016
307,1990,0.06757175873069968,0.1608670838970619,0.38330031088229954,0.00023184864970654694,0.47286143607216374,0.47607096278855093,0.33552796477447633,0.6685454264389971,0.42581112512370284,0.5313738849962942,Italy,1990,0.21479760750198748,High,0.5,0.4010481277858342
308,1991,0.06859769593102119,0.14340373106320126,0.39746758813047,0.00024744236143726565,0.46035163258418016,0.45860129737211713,0.3228665321414772,0.6564898502805004,0.4293506127340099,0.5233486100466046,Italy,1991,0.19435499042814897,High,0.5,0.3620628002814894
309,1992,0.06920271598349964,0.15187988779506179,0.42761290882135344,0.00024949270164364095,0.4010481277858342,0.4733833095507497,0.3228665321414772,0.6557189692420513,0.5050033343655711,0.3989673023738878,Italy,1992,0.169157136289173,High,0.5,0.3272526690621592
310,1993,0.06857909407051674,0.1508149785145796,0.47146494231527364,0.00025822373363716206,0.3620628002814894,0.5284800127907022,0.2215750710774844,0.5567723400820447,0.5574727992066308,0.4555416232851075,Italy,1993,0.13689996114628156,Target,0.5,0.3989191316553745
311,1994,0.07013870172138184,0.16833450607704814,0.49793358097710355,0.0002601887321135768,0.3272526690621592,0.5714822818358338,0.2089136384444853,0.524975555689242,0.4674340170642435,0.39756810490666405,Italy,1994,0.19151165280157195,Target,0.5,0.32453683510862297
312,1995,0.07227690550008026,0.20309455287560474,0.4517079085535155,0.00025591548519842333,0.3989191316553745,0.599272505153806,0.24689793634348262,0.6052706902814448,0.17576894861022746,0.346571853630842,Italy,1995,0.2094540936865237,High,0.5,0.2056240907443896
313,1996,0.07318875614302224,0.17692271094574097,0.4509521104897065,0.0002652998892864412,0.32453683510862297,0.599272505153806,0.2089136384444853,0.4717653884932025,0.3543812622361678,0.45918321871427403,Italy,1996,0.19969850424361277,Target,0.5,0.20029449791131196
314,1997,0.07460016775843997,0.19482871777131344,0.4414849524508485,0.0002871012750269792,0.2056240907443896,0.6042177673303117,0.15826790791248885,0.3508526857139376,0.3166596587538164,0.5559710287003217,Italy,1997,0.19489424411594808,Target,0.5,0.2355711118554985
315,1998,0.07601754944259104,0.20340736647927765,0.4312344412104384,0.000301382425089779,0.20029449791131196,0.6091092766570727,0.0949607447474933,0.2566917871304131,0.3123518414593996,0.4874480654337473,Italy,1998,0.2136210540013349,Target,1.0,0.2505562752453099
317,2000,0.08051412148595832,0.2568987222847771,0.41098535141755455,0.00040822949783063064,0.2355711118554985,0.5428320129219476,0.10129146106399287,0.2896665436201491,0.2803099373461129,0.44575257868423646,Italy,2000,0.22538658900786065,Target,1.0,0.23118910728051528
318,2001,0.08220803748189419,0.2509965447075093,0.4100799683202834,0.00043362076065215705,0.2505562752453099,0.48907918467846057,0.0965434238266182,0.2712753933363743,0.35336235987959463,0.5156847263409541,Italy,2001,0.231906656323977,Target,1.0,0.24373782620927267
319,2002,0.08244026951533474,0.24032737822572187,0.39998297856158443,0.0004699087289079688,0.23118910728051528,0.4626327503523942,0.07280323763974486,0.2639260799473648,0.3097498765871359,0.5623865737181545,Italy,2002,0.20974823206168686,Target,1.0,0.2155318457095233
320,2003,0.08249774052760754,0.22901226693359783,0.39680626482463716,0.0005024056712402022,0.24373782620927267,0.4541398000927432,0.04748037237374665,0.2265052431523566,0.34221363496841234,0.5312962034160709,Italy,2003,0.1786185873569208,Target,1.0,0.2021239414222043
321,2004,0.08377188606573144,0.23718400398674994,0.3952198761802879,0.0005441675504619408,0.2155318457095233,0.4322086373969353,0.04431501421549688,0.22701689360785085,0.34988134891516853,0.5618740376201645,Italy,2004,0.1747947884797999,Target,1.0,0.2085146596893447
322,2005,0.08444058381779385,0.2554177469492653,0.4008608065211127,0.0005954625754220374,0.2021239414222043,0.41694283344474625,0.04589769329462176,0.19353049618143314,0.38537233724292186,0.586444050934732,Italy,2005,0.17651059566825159,Target,1.0,0.1927047880717895
323,2006,0.0860306197076984,0.28784784105796307,0.4011678494845351,0.0006408976594722031,0.2085146596893447,0.36904905507285357,0.0680552004023702,0.21690712456470473,0.35913694596551177,0.5477059866156089,Italy,2006,0.1914626297390447,Target,1.0,0.28462540246176893
324,2007,0.08734611889265802,0.298071311647026,0.390149730835569,0.0006806213135588977,0.1927047880717895,0.33362593246642935,0.09337806566836843,0.23788816289962833,0.30426644921649865,0.5166975610734272,Italy,2007,0.17548111135518057,Target,1.0,0.1288263908376716
